date_time,time_in_hr,traffic_volume,x,y
2012-10-07 00:00:00,-24.000000,1233,-0.987750,1.233000
2012-10-07 03:00:00,-21.000000,323,-0.872221,0.323000
2012-10-07 04:00:00,-20.000000,312,-0.826537,0.312000
2012-10-07 05:00:00,-19.000000,627,-0.776105,0.627000
2012-10-07 06:00:00,-18.000000,1508,-0.737031,1.508000
2012-10-07 07:00:00,-17.000000,1539,-0.715120,1.539000
2012-10-07 08:00:00,-16.000000,2232,-0.660069,2.232000
2012-10-07 09:00:00,-15.000000,4568,-0.626051,4.568000
2012-10-07 10:00:00,-14.000000,4624,-0.584050,4.624000
2012-10-07 11:00:00,-13.000000,4529,-0.538815,4.529000
2012-10-07 12:00:00,-12.000000,5139,-0.499000,5.139000
2012-10-07 13:00:00,-11.000000,6640,-0.448234,6.640000
2012-10-07 14:00:00,-10.000000,6589,-0.411382,6.589000
2012-10-07 15:00:00,-9.000000,4429,-0.374155,4.429000
2012-10-07 16:00:00,-8.000000,4329,-0.330251,4.329000
2012-10-07 17:00:00,-7.000000,3833,-0.289349,3.833000
2012-10-07 18:00:00,-6.000000,4015,-0.239624,4.015000
2012-10-07 19:00:00,-5.000000,3382,-0.209758,3.382000
2012-10-07 20:00:00,-4.000000,2815,-0.164493,2.815000
2012-10-07 21:00:00,-3.000000,2110,-0.130931,2.110000
2012-10-07 22:00:00,-2.000000,1555,-0.101062,1.555000
2012-10-07 23:00:00,-1.000000,959,-0.037128,0.959000
2012-10-08 00:00:00,0.000000,455,0.006003,0.455000
2012-10-08 01:00:00,1.000000,336,0.036513,0.336000
2012-10-08 02:00:00,2.000000,265,0.099096,0.265000
2012-10-08 03:00:00,3.000000,314,0.114900,0.314000
2012-10-08 04:00:00,4.000000,779,0.166984,0.779000
2012-10-08 05:00:00,5.000000,2571,0.207033,2.571000
2012-10-08 06:00:00,6.000000,5563,0.260644,5.563000
2012-10-08 07:00:00,7.000000,6676,0.301871,6.676000
2012-10-08 08:00:00,8.000000,5966,0.334409,5.966000
2012-10-08 09:00:00,9.000000,4832,0.377626,4.832000
2012-10-08 10:00:00,10.000000,4395,0.410501,4.395000
2012-10-08 11:00:00,11.000000,4411,0.444578,4.411000
2012-10-08 12:00:00,12.000000,4648,0.497584,4.648000
2012-10-08 13:00:00,13.000000,4602,0.542752,4.602000
2012-10-08 14:00:00,14.000000,5125,0.591877,5.125000
2012-10-08 15:00:00,15.000000,5502,0.633350,5.502000
2012-10-08 16:00:00,16.000000,5979,0.663977,5.979000
2012-10-08 17:00:00,17.000000,5663,0.706234,5.663000
2012-10-08 18:00:00,18.000000,4259,0.742718,4.259000
2012-10-08 19:00:00,19.000000,3069,0.781805,3.069000
2012-10-08 20:00:00,20.000000,2378,0.821484,2.378000
2012-10-08 21:00:00,21.000000,2030,0.888547,2.030000
2012-10-08 22:00:00,22.000000,1400,0.913127,1.400000
2012-10-08 23:00:00,23.000000,917,0.955291,0.917000
2012-10-14 00:00:00,-24.000000,1309,-1.008700,1.309000
2012-10-14 01:00:00,-23.000000,870,-0.952934,0.870000
2012-10-14 02:00:00,-22.000000,654,-0.927874,0.654000
2012-10-14 03:00:00,-21.000000,364,-0.876477,0.364000
2012-10-14 04:00:00,-20.000000,262,-0.839552,0.262000
2012-10-14 05:00:00,-19.000000,505,-0.788980,0.505000
2012-10-14 06:00:00,-18.000000,861,-0.753547,0.861000
2012-10-14 07:00:00,-17.000000,1132,-0.716532,1.132000
2012-10-14 08:00:00,-16.000000,1797,-0.666862,1.797000
2012-10-14 09:00:00,-15.000000,2685,-0.622025,2.685000
2012-10-14 09:00:00,-15.000000,2685,-0.624538,2.685000
2012-10-14 09:00:00,-15.000000,2685,-0.622900,2.685000
2012-10-14 10:00:00,-14.000000,3370,-0.587738,3.370000
2012-10-14 10:00:00,-14.000000,3370,-0.585852,3.370000
